,name,speed
0,0,15.849999999999998
1,1,26.91627906976744
2,2,23.726315789473684
3,3,15.2
4,4,12.36
5,5,31.285714285714285
6,6,17.854545454545455
7,7,19.418181818181818
8,8,35.65714285714286
9,9,28.77647058823529
10,10,33.519999999999996
11,11,33.56470588235294
12,12,26.06086956521739
13,0,19.849999999999998
14,1,28.91627906976744
15,2,26.933333333333334
16,3,13.2
17,4,16.36
18,5,29.285714285714285
19,6,16.854545454545455
20,7,16.418181818181818
21,8,33.65714285714286
22,9,29.77647058823529
23,10,33.519999999999996
24,11,32.56470588235294
25,12,27.06086956521739
26,0,17.136
27,1,29.008988764044943
28,2,23.933333333333334
29,3,10.725
30,4,11.663414634146342
31,5,29.176470588235293
32,6,18.778723404255317
33,7,13.17313432835821
34,8,30.65714285714286
35,9,29.70909090909091
36,10,28.968224299065422
37,11,34.475
38,12,28.06086956521739
39,0,20.136
40,1,23.008988764044943
41,2,21.36603773584906
42,3,16.725
43,4,13.663414634146342
44,5,29.176470588235293
45,6,19.778723404255317
46,7,13.17313432835821
47,8,31.65714285714286
48,9,32.70909090909091
49,10,30.968224299065422
50,11,30.475
51,12,29.06086956521739
52,0,14.136
53,1,24.008988764044943
54,2,21.36603773584906
55,3,15.725
56,4,11.663414634146342
57,5,27.176470588235293
58,6,14.48
59,7,14.17313432835821
60,8,35.25090909090909
61,9,31.70909090909091
62,10,26.52
63,11,35.475
64,12,30.06086956521739
65,0,14.136
66,1,22.72
67,2,22.36603773584906
68,3,16.725
69,4,16.663414634146342
70,5,25.176470588235293
71,6,17.48
72,7,20.17313432835821
73,8,36.25090909090909
74,9,32.70909090909091
75,10,31.52
76,11,35.475
77,12,23.06086956521739
78,0,19.136
79,1,26.72
80,2,24.36603773584906
81,3,12.725
82,4,17.663414634146342
83,5,29.176470588235293
84,6,18.48
85,7,15.17313432835821
86,8,36.25090909090909
87,9,31.70909090909091
88,10,29.52
89,11,29.475
90,12,30.06086956521739
91,0,19.8
92,1,25.72
93,2,25.933333333333334
94,3,17.725
95,4,11.663414634146342
96,5,24.176470588235293
97,6,19.48
98,7,14.17313432835821
99,8,37.25090909090909
100,9,31.70909090909091
101,10,26.52
102,11,29.475
103,12,27.06086956521739
104,0,19.485714285714284
105,1,23.91627906976744
106,2,25.11428571428572
107,3,12.669230769230769
108,4,10.663636363636364
109,5,26.65384615384616
110,6,14.657142857142858
111,7,19.17313432835821
112,8,30.996610169491525
113,9,27.77647058823529
114,10,26.52
115,11,29.176
116,12,25.506382978723405
117,0,14.485714285714284
118,1,25.91627906976744
119,2,25.11428571428572
120,3,15.669230769230769
121,4,14.663636363636364
122,5,24.65384615384616
123,6,20.65714285714286
124,7,13.17313432835821
125,8,28.996610169491525
126,9,31.77647058823529
127,10,27.52
128,11,34.176
129,12,24.506382978723405
130,0,21.04
131,1,27.91627906976744
132,2,24.933333333333334
133,3,12.725
134,4,14.663636363636364
135,5,29.285714285714285
136,6,23.015384615384612
137,7,17.763934426229508
138,8,31.65714285714286
139,9,33.36288659793814
140,10,32.968224299065426
141,11,33.88695652173913
142,12,29.347252747252742
143,0,16.04
144,1,28.606896551724137
145,2,24.36603773584906
146,3,17.725
147,4,14.663636363636364
148,5,31.285714285714285
149,6,17.015384615384612
150,7,21.06
151,8,32.65714285714286
152,9,33.36288659793814
153,10,27.968224299065422
154,11,37.88695652173913
155,12,24.347252747252742
156,0,21.04
157,1,28.606896551724137
158,2,23.36603773584906
159,3,11.725
160,4,14.663636363636364
161,5,30.285714285714285
162,6,19.015384615384612
163,7,18.06
164,8,31.65714285714286
165,9,31.362886597938143
166,10,32.968224299065426
167,11,42.01951219512195
168,12,28.347252747252742
169,0,17.04
170,1,26.606896551724137
171,2,21.36603773584906
172,3,16.725
173,4,17.663636363636364
174,5,30.285714285714285
175,6,16.015384615384612
176,7,18.06
177,8,36.65714285714286
178,9,32.36288659793814
179,10,26.968224299065422
180,11,36.88695652173913
181,12,25.347252747252742
182,0,23.04
183,1,30.91627906976744
184,2,23.36603773584906
185,3,12.725
186,4,16.36
187,5,32.285714285714285
188,6,20.015384615384612
189,7,20.2
190,8,35.65714285714286
191,9,31.700000000000003
192,10,28.968224299065422
193,11,34.64
194,12,29.347252747252742
195,0,20.04
196,1,28.91627906976744
197,2,20.36603773584906
198,3,16.725
199,4,15.36
200,5,31.285714285714285
201,6,20.015384615384612
202,7,19.2
203,8,31.65714285714286
204,9,29.700000000000003
205,10,27.968224299065422
206,11,34.64
207,12,27.347252747252742
208,0,16.04
209,1,29.91627906976744
210,2,26.36603773584906
211,3,13.725
212,4,11.36
213,5,29.285714285714285
214,6,16.015384615384612
215,7,21.2
216,8,32.65714285714286
217,9,30.700000000000003
218,10,27.968224299065422
219,11,38.64
220,12,29.347252747252742
221,0,21.04
222,1,25.91627906976744
223,2,22.933333333333334
224,3,14.725
225,4,10.36
226,5,31.176470588235293
227,6,18.015384615384612
228,7,14.2
229,8,31.65714285714286
230,9,30.700000000000003
231,10,27.968224299065422
232,11,38.64
233,12,25.347252747252742
234,0,15.8
235,1,25.91627906976744
236,2,20.726315789473684
237,3,12.176
238,4,12.663636363636364
239,5,25.65384615384616
240,6,16.778723404255317
241,7,13.704347826086956
242,8,30.53103448275862
243,9,28.392000000000003
244,10,28.968224299065422
245,11,33.81224489795918
246,12,24.780645161290323
247,0,17.62608695652174
248,1,30.91627906976744
249,2,22.815384615384616
250,3,10.444897959183674
251,4,12.525
252,5,30.875000000000004
253,6,20.015384615384612
254,7,19.2
255,8,28.53103448275862
256,9,34.70909090909091
257,10,30.803846153846152
258,11,32.88695652173913
259,12,23.347252747252742
260,0,20.62608695652174
261,1,27.23294117647059
262,2,24.36603773584906
263,3,13.444897959183674
264,4,9.525
265,5,30.489361702127663
266,6,18.015384615384612
267,7,19.47741935483871
268,8,34.53103448275862
269,9,28.70909090909091
270,10,30.803846153846152
271,11,31.88695652173913
272,12,27.347252747252742
273,0,20.62608695652174
274,1,30.23294117647059
275,2,24.36603773584906
276,3,13.444897959183674
277,4,13.525
278,5,37.0
279,6,18.015384615384612
280,7,16.763934426229508
281,8,29.53103448275862
282,9,34.70909090909091
283,10,28.803846153846152
284,11,36.88695652173913
285,12,29.347252747252742
286,0,17.62608695652174
287,1,28.23294117647059
288,2,20.36603773584906
289,3,15.444897959183674
290,4,10.525
291,5,26.489361702127663
292,6,21.015384615384612
293,7,21.47741935483871
294,8,31.53103448275862
295,9,35.70909090909091
296,10,28.803846153846152
297,11,34.88695652173913
298,12,30.347252747252742
299,0,19.62608695652174
300,1,26.91627906976744
301,2,27.36603773584906
302,3,14.444897959183674
303,4,10.525
304,5,31.489361702127663
305,6,20.015384615384612
306,7,18.47741935483871
307,8,28.53103448275862
308,9,34.70909090909091
309,10,30.803846153846152
310,11,32.88695652173913
311,12,26.347252747252742
312,0,21.62608695652174
313,1,26.889156626506026
314,2,27.36603773584906
315,3,11.444897959183674
316,4,13.791489361702128
317,5,26.285714285714285
318,6,20.015384615384612
319,7,15.477419354838709
320,8,31.53103448275862
321,9,31.032653061224494
322,10,31.803846153846152
323,11,31.88695652173913
324,12,26.347252747252742
325,0,16.62608695652174
326,1,30.889156626506026
327,2,22.36603773584906
328,3,14.444897959183674
329,4,12.791489361702128
330,5,28.285714285714285
331,6,21.015384615384612
332,7,18.47741935483871
333,8,29.53103448275862
334,9,31.392000000000003
335,10,31.803846153846152
336,11,33.88695652173913
337,12,27.347252747252742
338,0,21.62608695652174
339,1,29.55714285714286
340,2,25.36603773584906
341,3,16.444897959183674
342,4,9.791489361702128
343,5,27.285714285714285
344,6,23.015384615384612
345,7,19.47741935483871
346,8,28.98032786885246
347,9,30.032653061224494
348,10,31.803846153846152
349,11,37.88695652173913
350,12,28.347252747252742
351,0,22.62608695652174
352,1,24.55714285714286
353,2,24.36603773584906
354,3,10.444897959183674
355,4,10.791489361702128
356,5,31.285714285714285
357,6,22.015384615384612
358,7,14.477419354838709
359,8,34.53103448275862
360,9,34.032653061224494
361,10,34.38823529411765
362,11,34.88695652173913
363,12,26.347252747252742
364,0,14.485714285714284
365,1,26.91627906976744
366,2,22.11428571428572
367,3,10.444897959183674
368,4,13.36
369,5,26.666666666666668
370,6,16.854545454545455
371,7,19.93529411764706
372,8,31.65714285714286
373,9,33.70909090909091
374,10,32.968224299065426
375,11,32.81224489795918
376,12,24.06086956521739
377,0,20.547368421052635
378,1,24.23294117647059
379,2,23.11428571428572
380,3,11.444897959183674
381,4,16.415384615384617
382,5,33.48936170212767
383,6,20.854545454545455
